"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"SYRMA","Syrma SGS Technology Limited","Change in Auditors","Syrma Sgs Technology Limited has informed the Exchange regarding Change in Auditors of the company.","26-Sep-2025 23:53:32","2025-09-26 23:53:32","26-Sep-2025 23:53:33","00:00:01","https://nsearchives.nseindia.com/corporate/SYRMASGS_26092025235242_3OutcomeofAGMsectauditor.pdf"
"MANYAVAR","Vedant Fashions Limited","General Updates","Vedant Fashions Limited has informed the Exchange regarding the compounding under the Legal Metrology Act, 2009, vide the enclosed letter.","26-Sep-2025 23:50:35","2025-09-26 23:50:35","26-Sep-2025 23:50:36","00:00:01","https://nsearchives.nseindia.com/corporate/MANYAVAR_26092025234959_SEInti26092025_LM_.pdf"
"SKFINDIA","SKF India Limited","Trading Window","SKF India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 23:49:18","2025-09-26 23:49:18","26-Sep-2025 23:49:19","00:00:01","https://nsearchives.nseindia.com/corporate/SKFINDIA25_26092025234846_NSE.pdf"
"SINTERCOM","Sintercom India Limited","Change in Auditors","Sintercom India Limited has informed the Exchange regarding Change in Auditors of the company.","26-Sep-2025 23:42:49","2025-09-26 23:42:49","26-Sep-2025 23:42:50","00:00:01","https://nsearchives.nseindia.com/corporate/SINTERCOM_26092025234211_Change_in_Secretarial_Auditor.pdf"
"SINTERCOM","Sintercom India Limited","Change in Director(s)","Sintercom India Limited has informed the Exchange regarding Change in Director(s) of the company.","26-Sep-2025 23:40:25","2025-09-26 23:40:25","26-Sep-2025 23:40:26","00:00:01","https://nsearchives.nseindia.com/corporate/SINTERCOM_26092025233941_Reappointment_of_DJK.pdf"
"SINTERCOM","Sintercom India Limited","Shareholders meeting","Sintercom India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 24, 2025","26-Sep-2025 23:37:41","2025-09-26 23:37:41","26-Sep-2025 23:37:41","00:00:00","https://nsearchives.nseindia.com/corporate/SINTERCOM_26092025233710_VotingResultSIL__1_.pdf"
"SYRMA","Syrma SGS Technology Limited","Change in Director(s)","Syrma Sgs Technology Limited has informed the Exchange regarding Change in Director(s) of the company.","26-Sep-2025 23:37:26","2025-09-26 23:37:26","26-Sep-2025 23:37:27","00:00:01","https://nsearchives.nseindia.com/corporate/SYRMASGS_26092025233716_2changeinDirector.pdf"
"CUBEXTUB","Cubex Tubings Limited","Shareholders meeting","Cubex Tubings Limited has submitted the Exchange a copy Srutinizers report of  undefined held on September 25, 2025","26-Sep-2025 23:32:23","2025-09-26 23:32:23","26-Sep-2025 23:32:24","00:00:01","https://nsearchives.nseindia.com/corporate/CUBEXTUB_26092025233033_CUBEX795_merged_compressed__2_.pdf"
"INTLCONV","International Conveyors Limited","Appointment","International Conveyors Limited has informed the Exchange regarding Appointment of  RAJESH KUMAR SHAW & CO as Other of the company w.e.f. April 01, 2025.","26-Sep-2025 23:29:45","2025-09-26 23:29:45","26-Sep-2025 23:29:46","00:00:01","https://nsearchives.nseindia.com/corporate/INTLCONV_26092025232900_AppointmentofSecretarialAuditor.pdf"
"SYRMA","Syrma SGS Technology Limited","Shareholders meeting","Summary of Proceedings of the 21st Annual General Meeting of Syrma SGS Technology Limited (the Company) held today i.e. on Friday, September 26, 2025, through Video Conferencing (VC)/ Other Audio- Visual Means (OAVM)","26-Sep-2025 23:28:54","2025-09-26 23:28:54","26-Sep-2025 23:28:54","00:00:00","https://nsearchives.nseindia.com/corporate/SYRMASGS_26092025232450_1OutcomeProceedingsofAGM.pdf"
