"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"DCMNVL","DCM Nouvelle Limited","General Updates","DCM Nouvelle Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","26-Sep-2025 23:27:32","2025-09-26 23:27:32","26-Sep-2025 23:27:33","00:00:01","https://nsearchives.nseindia.com/corporate/DCMNVL_26092025232425_NSEBSESigned.pdf"
"AVROIND","AVRO INDIA LIMITED","Resignation","AVRO INDIA LIMITED has informed the Exchange regarding Resignation of Mr Sunil Duggal as Non- Executive Independent Director of the company w.e.f. September 26, 2025.","26-Sep-2025 23:25:37","2025-09-26 23:25:37","26-Sep-2025 23:25:38","00:00:01","https://nsearchives.nseindia.com/corporate/AVONMPL_26092025232516_SunilResignation.pdf"
"COFORGE","Coforge Limited","Shareholders meeting","Coforge Limited has informed the Exchange regarding Proceedings of  Annual General Meeting held on September 26, 2025","26-Sep-2025 23:19:11","2025-09-26 23:19:11","26-Sep-2025 23:19:11","00:00:00","https://nsearchives.nseindia.com/corporate/COFORGE_26092025231847_Coforge_AGM_Proceedings.pdf"
"BROOKS","Brooks Laboratories Limited","Updates","Brooks Laboratories Limited has informed the Exchange regarding 'Merger of Brooks Steriscience Limited (BSL), a Joint Venture/Associate of the Company, through a Composite Scheme of Arrangement and Amalgamation (Merger by Absorption).'.","26-Sep-2025 23:18:01","2025-09-26 23:18:01","26-Sep-2025 23:18:02","00:00:01","https://nsearchives.nseindia.com/corporate/BROOKS_26092025231721_Brooks_Laboratories_Limited_-_Disclosure_under_Reg_30_26sept25.pdf"
"MITTAL","Mittal Life Style Limited","Shareholders meeting","Mittal Life Style Limited has submitted the Exchange a copy Srutinizer's report of  Postal Ballot","26-Sep-2025 23:14:11","2025-09-26 23:14:11","26-Sep-2025 23:14:11","00:00:00","https://nsearchives.nseindia.com/corporate/MITTAL_26092025231123_Scrutinizers_Report.pdf"
"COUNCODOS","Country Condo's Limited","Shareholders meeting","Country Condo's Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025","26-Sep-2025 23:13:39","2025-09-26 23:13:39","26-Sep-2025 23:13:39","00:00:00","https://nsearchives.nseindia.com/corporate/COUNCODOS_26092025231318_CCL_Declaration_of_Voting_Results.pdf"
"ONESOURCE","Onesource Specialty Pharma Limited","General Updates","Onesource Specialty Pharma Limited has informed the Exchange about Presentation on Merger and Other restructuring","26-Sep-2025 23:12:48","2025-09-26 23:12:48","26-Sep-2025 23:12:50","00:00:02","https://nsearchives.nseindia.com/corporate/ONESOURCECDMO_26092025231226_OS_Investor_Presentation_Intimation.pdf"
"AFFORDABLE","Affordable Robotic & Automation Limited","Trading Window","Affordable Robotic & Automation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 23:12:37","2025-09-26 23:12:37","26-Sep-2025 23:12:38","00:00:01","https://nsearchives.nseindia.com/corporate/AFFORDABLE_26092025230650_Tading_window_Closure_signed.pdf"
"COROMANDEL","Coromandel International Limited","Updates","Coromandel International Limited has informed the Exchange regarding 'Intimation under Regulation 31(A)(8) of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015'.","26-Sep-2025 23:10:35","2025-09-26 23:10:35","26-Sep-2025 23:10:37","00:00:02","https://nsearchives.nseindia.com/corporate/COROMANDELINT_26092025230819_Reg_31A_8__CECL_and_YCAS_app_submission.pdf"
"ONESOURCE","Onesource Specialty Pharma Limited","Other Restructuring","Onesource Specialty Pharma Limited has informed the Exchange about Other Restructuring","26-Sep-2025 23:06:56","2025-09-26 23:06:56","26-Sep-2025 23:06:58","00:00:02","https://nsearchives.nseindia.com/corporate/ONESOURCECDMO_26092025230645_OneSource_BM_SE_Intimation_Final.pdf"
"COUNCODOS","Country Condo's Limited","Shareholders meeting","Country Condo's Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 23:06:32","2025-09-26 23:06:32","26-Sep-2025 23:06:32","00:00:00","https://nsearchives.nseindia.com/corporate/COUNCODOS_26092025230509_CCL_Outcome_of_AGM.pdf"
"KPIGREEN","KPI Green Energy Limited","Amendment to AOA/MOA","KPI Green Energy Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.","26-Sep-2025 23:05:51","2025-09-26 23:05:51","26-Sep-2025 23:05:52","00:00:01","https://nsearchives.nseindia.com/corporate/KPIGLOBAL_26092025230532_KPI_Intimation_of_MOA_amendment_to_BSENSE_Signed.pdf"
"ONESOURCE","Onesource Specialty Pharma Limited","Amalgamation/Merger","Onesource Specialty Pharma Limited has informed the Exchange about Amalgamation/Merger","26-Sep-2025 23:03:48","2025-09-26 23:03:48","26-Sep-2025 23:03:49","00:00:01","https://nsearchives.nseindia.com/corporate/ONESOURCECDMO_26092025230334_OneSource_BM_SE_Intimation_Final.pdf"
"BROOKS","Brooks Laboratories Limited","Appointment","Brooks Laboratories Limited has informed the Exchange regarding Appointment of M/s. Sharma Sarin & Associates, as the Secretarial Auditor of the Company for five (5) consecutive years for FY 2025-26 to 2029-30.","26-Sep-2025 23:02:32","2025-09-26 23:02:32","26-Sep-2025 23:02:33","00:00:01","https://nsearchives.nseindia.com/corporate/BROOKS_26092025230210_Reg_30_Appointment_of_Secretarial_Auditor.pdf"
"KPIGREEN","KPI Green Energy Limited","Shareholders meeting","KPI Green Energy Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025","26-Sep-2025 22:59:55","2025-09-26 22:59:55","26-Sep-2025 22:59:55","00:00:00","https://nsearchives.nseindia.com/corporate/KPIGLOBAL_26092025225757_KPI_Green_Voting_Result_26092025_to_Exchange_signed.pdf"
"THYROCARE","Thyrocare Technologies Limited","Shareholders meeting","Thyrocare Technologies Limited has submitted the Exchange details of Voting Results and a copy Scrutinizers Report of Postal Ballot notice dated July 23, 2025.","26-Sep-2025 22:56:48","2025-09-26 22:56:48","26-Sep-2025 22:56:48","00:00:00","https://nsearchives.nseindia.com/corporate/THYROCARE_26092025225509_SE_Results.pdf"
"BPCL","Bharat Petroleum Corporation Limited","Registrar & Share Transfer Agent Update","Bharat Petroleum Corporation Limited has informed the Exchange about Registrar & Share Transfer Agent Update","26-Sep-2025 22:48:47","2025-09-26 22:48:47","26-Sep-2025 22:48:48","00:00:01","https://nsearchives.nseindia.com/corporate/BPCL_26092025224759_1stexchchangeinrta26925s.pdf"
"SIL","Standard Industries Limited","Trading Window","Standard Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 22:44:55","2025-09-26 22:44:55","26-Sep-2025 22:44:57","00:00:02","https://nsearchives.nseindia.com/corporate/SIL_26092025224437_Window_closure_intimation_for_second_quarter_signed.pdf"
"BGRENERGY","BGR Energy Systems Limited","General Updates","BGR Energy Systems Limited has informed the Exchange about appointment of secretarial Auditor of the Company under Regulation 30 of SEBI (LODR)2015","26-Sep-2025 22:42:03","2025-09-26 22:42:03","26-Sep-2025 22:42:04","00:00:01","https://nsearchives.nseindia.com/corporate/BGRENERGYSYS_26092025224151_REGULATION_30_CM_SD.pdf"
"ALPHAGEO","Alphageo (India) Limited","Updates","Alphageo (India) Limited has informed the Exchange regarding 'Appointment Of M/S D.Hanumanta Raju & Co. As Secretarial Auditor's of the Company. '.","26-Sep-2025 22:41:37","2025-09-26 22:41:37","26-Sep-2025 22:41:38","00:00:01","https://nsearchives.nseindia.com/corporate/ALPHAGEO_26092025224106_secretarial_auditor_intimation.pdf"
"MONARCH","Monarch Networth Capital Limited","Shareholders meeting","Monarch Networth Capital Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025. Further, the company has informed the Exchange regarding voting results.","26-Sep-2025 22:39:24","2025-09-26 22:39:24","26-Sep-2025 22:39:24","00:00:00","https://nsearchives.nseindia.com/corporate/MONARCH_26092025223851_MNCL_AGM_-_converted.pdf"
"BGRENERGY","BGR Energy Systems Limited","Shareholders meeting","BGR Energy Systems Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025","26-Sep-2025 22:36:42","2025-09-26 22:36:42","26-Sep-2025 22:36:42","00:00:00","https://nsearchives.nseindia.com/corporate/BGRENERGYSYS_26092025223434_Final_report_BGR_SD_1.pdf"
"KPIGREEN","KPI Green Energy Limited","Shareholders meeting","KPI Green Energy Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 22:29:31","2025-09-26 22:29:31","26-Sep-2025 22:29:31","00:00:00","https://nsearchives.nseindia.com/corporate/KPIGLOBAL_26092025222832_KPI_Summary_of_17th_AGM_Proceeding_to_Exchange_Signed.pdf"
"OSWALGREEN","Oswal Greentech Limited","Shareholders meeting","Oswal Greentech Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 25, 2025","26-Sep-2025 22:26:27","2025-09-26 22:26:27","26-Sep-2025 22:26:27","00:00:00","https://nsearchives.nseindia.com/corporate/BINDALAGRO_26092025222615_R44OGLF.pdf"
"GREENPANEL","Greenpanel Industries Limited","Copy of Newspaper Publication","Greenpanel Industries Limited has informed the Exchange about Copy of Newspaper Publication","26-Sep-2025 22:25:47","2025-09-26 22:25:47","26-Sep-2025 22:25:47","00:00:00","https://nsearchives.nseindia.com/corporate/GREENPANEL_26092025222530_Newspaper_Intimation_20250926.pdf"
"HAPPSTMNDS","Happiest Minds Technologies Limited","Amalgamation/Merger","Happiest Minds Technologies Limited has informed the Exchange about Amalgamation/Merger","26-Sep-2025 22:24:00","2025-09-26 22:24:00","26-Sep-2025 22:24:00","00:00:00","https://nsearchives.nseindia.com/corporate/suhask_26092025222338_Reg30HMEFinalOrder26092925.pdf"
"ASTEC","Astec LifeSciences Limited","Trading Window","Astec LifeSciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 22:22:54","2025-09-26 22:22:54","26-Sep-2025 22:22:55","00:00:01","https://nsearchives.nseindia.com/corporate/ASTEC_26092025222241_BSENSEWINDOWCLOSURE26092025signed.pdf"
"DEEDEV","DEE Development Engineers Limited","Shareholders meeting","DEE Development Engineers Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 22:21:32","2025-09-26 22:21:32","26-Sep-2025 22:21:32","00:00:00","https://nsearchives.nseindia.com/corporate/DDEL_26092025221754_BSENSESIGNED.pdf"
"MANGCHEFER","Mangalore Chemicals & Fertilizers Limited","Scheme of Arrangement","Mangalore Chemicals & Fertilizers Limited has informed the Exchange about Scheme of Arrangement","26-Sep-2025 22:20:52","2025-09-26 22:20:52","26-Sep-2025 22:20:53","00:00:01","https://nsearchives.nseindia.com/corporate/MANGCHEFER_26092025221030_MCFLNCLTorderdisclosure.pdf"
"IZMO","IZMO Limited","Shareholders meeting","IZMO Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025. Further, the company has informed the Exchange regarding voting results.","26-Sep-2025 22:16:53","2025-09-26 22:16:53","26-Sep-2025 22:16:53","00:00:00","https://nsearchives.nseindia.com/corporate/IZMO_26092025221539_Intimation.pdf"
"ALPHAGEO","Alphageo (India) Limited","Shareholders meeting","Alphageo (India) Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025","26-Sep-2025 22:13:58","2025-09-26 22:13:58","26-Sep-2025 22:13:58","00:00:00","https://nsearchives.nseindia.com/corporate/ALPHAGEO_26092025221202_VOTING_RESULTS_ALONGWITH_SCRUITINIZER_REPORT.pdf"
"POWERGRID","Power Grid Corporation of India Limited","General Updates","Power Grid Corporation of India Limited has informed the Exchange about Investment approval by  Committee of Directors on Investment on Projects  of POWERGRID.","26-Sep-2025 22:01:04","2025-09-26 22:01:04","26-Sep-2025 22:01:05","00:00:01","https://nsearchives.nseindia.com/corporate/POWERGRID1_26092025220038_OutcomeCoIP.pdf"
"CENTRUM","Centrum Capital Limited","Change in Director(s)","Centrum Capital Limited has informed the Exchange regarding Change in Director(s) of the company.","26-Sep-2025 22:00:53","2025-09-26 22:00:53","26-Sep-2025 22:00:54","00:00:01","https://nsearchives.nseindia.com/corporate/CENTRUM_26092025220024_Reg30BSENSE.pdf"
"FEDFINA","Fedbank Financial Services Limited","Updates","Fedbank Financial Services Limited has informed the Exchange regarding Intimation of sale of Non-performing small-ticket LAP/Home loans (including technically written off loans).","26-Sep-2025 21:58:28","2025-09-26 21:58:28","26-Sep-2025 21:58:29","00:00:01","https://nsearchives.nseindia.com/corporate/FEDFINA_26092025215820_NPA_sale_intimation_revised_Signed.pdf"
"LEMONTREE","Lemon Tree Hotels Limited","Press Release","Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated September 26, 2025, titled ""The Company has signed a Franchise Agreement viz. Keys Prima by Lemon Tree Hotels, Saj by the Lake, Malshej Ghat, Maharashtra"".","26-Sep-2025 21:57:45","2025-09-26 21:57:45","26-Sep-2025 21:57:46","00:00:01","https://nsearchives.nseindia.com/corporate/LEMONTREE_26092025215331_Intimation_Press_Release.pdf"
"THELEELA","Leela Palaces Hotels & Resorts Limited","Credit Rating- Others","Intimation of withdrawal of credit ratings of Subsidiary - Tulsi Palace Resort Private Limited","26-Sep-2025 21:56:00","2025-09-26 21:56:00","26-Sep-2025 21:56:01","00:00:01","https://nsearchives.nseindia.com/corporate/THELEELA_26092025215522_Intimation_-_Credit_Rating.pdf"
"PANACHE","Panache Digilife Limited","Shareholders meeting","Panache Digilife Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on October 18, 2025","26-Sep-2025 21:51:07","2025-09-26 21:51:07","26-Sep-2025 21:51:07","00:00:00","https://nsearchives.nseindia.com/corporate/PANACHE_26092025214849_SEIntimationEGMNotice_Signed.pdf"
"PROZONER","Prozone Realty Limited","General Updates","Prozone Realty Limited has informed the Exchange about General Updates","26-Sep-2025 21:50:24","2025-09-26 21:50:24","26-Sep-2025 21:50:25","00:00:01","https://nsearchives.nseindia.com/corporate/PROZONINTU_26092025215011_PRLVotingresultsandScruitinizersReport26092025.pdf"
"SOLARA","Solara Active Pharma Sciences Limited","Trading Window","Solara Active Pharma Sciences Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:48:34","2025-09-26 21:48:34","26-Sep-2025 21:48:36","00:00:02","https://nsearchives.nseindia.com/corporate/SOLARA_26092025214821_SE_Intimation_Trading_window.pdf"
"SUPREME","Supreme Holdings & Hospitality (India) Limited","Trading Window","Supreme Holdings & Hospitality (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:48:28","2025-09-26 21:48:28","26-Sep-2025 21:48:28","00:00:00","https://nsearchives.nseindia.com/corporate/BELMAC_26092025214750_SHHIL_Intimation_TWC_Q1_Sept_2025.pdf"
"SANSERA","Sansera Engineering Limited","Shareholders meeting","Sansera Engineering Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025","26-Sep-2025 21:47:34","2025-09-26 21:47:34","26-Sep-2025 21:47:34","00:00:00","https://nsearchives.nseindia.com/corporate/SANSERA_26092025213643_scruitinizerreport.pdf"
"HILTON","Hilton Metal Forging Limited","Shareholders meeting","Hilton Metal Forging Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2024","26-Sep-2025 21:46:24","2025-09-26 21:46:24","26-Sep-2025 21:46:24","00:00:00","https://nsearchives.nseindia.com/corporate/HILTON_26092025214420_IntimationFinal1.pdf"
"VAKRANGEE","Vakrangee Limited","Shareholders meeting","Vakrangee Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 25, 2025","26-Sep-2025 21:41:44","2025-09-26 21:41:44","26-Sep-2025 21:41:44","00:00:00","https://nsearchives.nseindia.com/corporate/VAKRANGEE_26092025214109_VLVotingResults_signed.pdf"
"EDELWEISS","Edelweiss Financial Services Limited","Shareholders meeting","Edelweiss Financial Services Limited has submitted the Exchange a copy of Voting Results and Srutinizers report of  30th Annual General Meeting held on September 26, 2025","26-Sep-2025 21:41:26","2025-09-26 21:41:26","26-Sep-2025 21:41:26","00:00:00","https://nsearchives.nseindia.com/corporate/EDELWEISS_26092025213955_ExchangeIntimationVR.pdf"
"PARADEEP","Paradeep Phosphates Limited","Scheme of Arrangement","Paradeep Phosphates Limited has informed the Exchange about Scheme of Arrangement","26-Sep-2025 21:41:03","2025-09-26 21:41:03","26-Sep-2025 21:41:04","00:00:01","https://nsearchives.nseindia.com/corporate/PPLTD_26092025213827_NCLTorderdisclosuresign.pdf"
"ROSSARI","Rossari Biotech Limited","Trading Window","Rossari Biotech Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:40:52","2025-09-26 21:40:52","26-Sep-2025 21:40:52","00:00:00","https://nsearchives.nseindia.com/corporate/ROSSARI_26092025213632_20250926_Intimation_for_Closure_of_Trading_Window_30092025.pdf"
"BEDMUTHA","Bedmutha Industries Limited","Trading Window","Bedmutha Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:39:14","2025-09-26 21:39:14","26-Sep-2025 21:39:15","00:00:01","https://nsearchives.nseindia.com/corporate/BEDMUTHA_26092025213808_BIL_BSE_NSE_Closure_of_Trading_Window_Q2FY26_26092025.pdf"
"SANSERA","Sansera Engineering Limited","Shareholders meeting","Sansera Engineering Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025","26-Sep-2025 21:37:59","2025-09-26 21:37:59","26-Sep-2025 21:37:59","00:00:00","https://nsearchives.nseindia.com/corporate/SANSERA_26092025213643_scruitinizerreport.pdf"
"BHARATWIRE","Bharat Wire Ropes Limited","Shareholders meeting","Bharat Wire Ropes Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 25, 2025. Further, the company has informed the Exchange regarding voting results.","26-Sep-2025 21:37:41","2025-09-26 21:37:41","26-Sep-2025 21:37:41","00:00:00","https://nsearchives.nseindia.com/corporate/BHARATWIRE_26092025213626_Report.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Nomination of Mr. Mandeep Chhatwal as non-executive director w.e.f. 1st January 2026, subject to approvals","26-Sep-2025 21:37:24","2025-09-26 21:37:24","26-Sep-2025 21:37:25","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_26092025213446_STXINTIMATION26092025signed.pdf"
"HDFCBANK","HDFC Bank Limited","General Updates","HDFC Bank Limited has informed the Exchange about General Updates","26-Sep-2025 21:33:28","2025-09-26 21:33:28","26-Sep-2025 21:33:29","00:00:01","https://nsearchives.nseindia.com/corporate/HDFCBANK_26092025213257_SE_Intimation-DFSA_final.pdf"
"PROZONER","Prozone Realty Limited","General Updates","Prozone Realty Limited has informed the Exchange about General Updates","26-Sep-2025 21:30:38","2025-09-26 21:30:38","26-Sep-2025 21:30:39","00:00:01","https://nsearchives.nseindia.com/corporate/PROZONINTU_26092025213018_PRLVotingresultsandScruitinizersReport26092025.pdf"
"EDELWEISS","Edelweiss Financial Services Limited","General Updates","Edelweiss Financial Services Limited has informed the Exchange about General Updates","26-Sep-2025 21:28:57","2025-09-26 21:28:57","26-Sep-2025 21:28:58","00:00:01","https://nsearchives.nseindia.com/corporate/EDELWEISS_26092025212845_ExchangeIntimation.pdf"
"DCXINDIA","DCX Systems Limited","Shareholders meeting","Dcx Systems Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 26, 2025","26-Sep-2025 21:27:42","2025-09-26 21:27:42","26-Sep-2025 21:27:42","00:00:00","https://nsearchives.nseindia.com/corporate/DCX_2022_26092025212734_VOTINGRESULTS.pdf"
"MOSCHIP","Moschip Technologies Limited","Shareholders meeting","Moschip Technologies Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025","26-Sep-2025 21:23:28","2025-09-26 21:23:28","26-Sep-2025 21:23:28","00:00:00","https://nsearchives.nseindia.com/corporate/MOSCHIP_26092025212316_26th_AGM_proceedings_to_BSE.pdf"
"FOSECOIND","Foseco India Limited","General Updates","Foseco India Limited has informed the Exchange about General Updates","26-Sep-2025 21:23:14","2025-09-26 21:23:14","26-Sep-2025 21:23:15","00:00:01","https://nsearchives.nseindia.com/corporate/FOSECOIND_26092025212249_Reg30_SEBI_LODR_Disclosure.pdf"
"AXISBANK","Axis Bank Limited","Trading Window","Axis Bank Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:22:59","2025-09-26 21:22:59","26-Sep-2025 21:23:00","00:00:01","https://nsearchives.nseindia.com/corporate/AXISBANK1_26092025212138_SEIntimationTWCQ2-signed.pdf"
"OSWALAGRO","Oswal Agro Mills Limited","Shareholders meeting","Oswal Agro Mills Limited has submitted the Exchange a copy of Srutinizers report of  Annual General Meeting held on September 25, 2025 along with voting results.","26-Sep-2025 21:22:30","2025-09-26 21:22:30","26-Sep-2025 21:22:30","00:00:00","https://nsearchives.nseindia.com/corporate/OSWALAGRO_26092025212215_R44OAML25092025PDF.pdf"
"INTLCONV","International Conveyors Limited","Shareholders meeting","International Conveyors Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 24, 2025. Further, the company has informed the Exchange regarding voting results.","26-Sep-2025 21:21:57","2025-09-26 21:21:57","26-Sep-2025 21:21:57","00:00:00","https://nsearchives.nseindia.com/corporate/INTLCONV_26092025212022_FINALSE.pdf"
"AMBUJACEM","Ambuja Cements Limited","General Updates","Ambuja Cements Limited has informed the Exchange about updates in respect of Scheme of Arrangement of Sanghi Industries Limited ( Transferor Company ) with Ambuja Cements Limited ( Transferee Company ) and their respective shareholders.","26-Sep-2025 21:21:24","2025-09-26 21:21:24","26-Sep-2025 21:21:25","00:00:01","https://nsearchives.nseindia.com/corporate/AMBUJACEM_26092025212045_Ambuja_SE_Intimation.pdf"
"SASTASUNDR","Sastasundar Ventures Limited","Trading Window","Sastasundar Ventures Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:20:40","2025-09-26 21:20:40","26-Sep-2025 21:20:40","00:00:00","https://nsearchives.nseindia.com/corporate/SASTASUNDR_26092025212025_SVLtradingwindowclosure30092025sign.pdf"
"VIKRAMSOLR","Vikram Solar Limited","Trading Window","Vikram Solar Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:19:49","2025-09-26 21:19:49","26-Sep-2025 21:19:50","00:00:01","https://nsearchives.nseindia.com/corporate/VSLCS_26092025211936_VSLQ2closureoftradingwindow.pdf"
"BANSWRAS","Banswara Syntex Limited","Trading Window","Banswara Syntex Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:19:43","2025-09-26 21:19:43","26-Sep-2025 21:19:45","00:00:02","https://nsearchives.nseindia.com/corporate/BANSWRAS_26092025211919_TWC30092025.pdf"
"PVP","PVP Ventures Limited","Trading Window","PVP Ventures Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Sep-2025 21:19:40","2025-09-26 21:19:40","26-Sep-2025 21:19:40","00:00:00","https://nsearchives.nseindia.com/corporate/Pvpchennai_26092025211921_Tradingwindowclosuresigned.pdf"
